"상태","업체명","식별번호","규격","2025-12-17","2025-12-24","2025-12-25","변동액","계약종료일"
"SAME","주식회사 아이티에스","24814328","데스크톱컴퓨터, 아이티에스, ITS-DT12-G4A21, Intel Core i5 12400(2.5GHz)","679000","679000","679000","0","2028.02.12"
"SAME","위더스컴퓨터 주식회사","24489401","데스크톱컴퓨터, 위더스컴퓨터, A5S-56N2H18, AMD RYGEN5 5600G(3.9GHz)","679310","679310","679310","0","2029.09.30"
"SAME","주식회사 에이치케이시스템","25769851","데스크톱컴퓨터, 에이치케이시스템, HMAB-N6WC0PC, AMD Ryzen5 5500GT(3.6GHz)","681100","681100","681100","0","2029.09.30"
"SAME","주식회사 에이치케이시스템","25770788","데스크톱컴퓨터, 에이치케이시스템, HSAB-N6WA0PB, AMD Ryzen5 5500GT(3.6GHz)","681100","681100","681100","0","2029.09.30"
"SAME","주식회사 서버앤컴퓨터","24158951","데스크톱컴퓨터, 서버앤컴퓨터, DECA-N5812, Intel Core i5 10500(3.1GHz)","682000","682000","682000","0","2026.04.29"
"SAME","주식회사 기린","24481643","데스크톱컴퓨터, 기린, KR161-S2108210, Intel Core i3 12100(3.3GHz)","682500","682500","682500","0","2029.09.30"
"SAME","(주)유투","25000870","데스크톱컴퓨터, 유투, AT5C2-510, AMD Ryzen 5 5600G(3.9GHz)","683500","683500","683500","0","2029.09.30"
"SAME","사단법인 나너우리","24594818","데스크톱컴퓨터, 나너우리, IYU-M23I7, Intel Core i3 12100(3.3GHz)","684000","684000","684000","0","2029.09.30"
"SAME","사단법인 나너우리","24594850","데스크톱컴퓨터, 나너우리, IYU-S23I7, Intel Core i3 12100(3.3GHz)","684000","684000","684000","0","2029.09.30"
"SAME","주식회사 스마트인디지털","24499224","데스크톱컴퓨터, 스마트인디지털, DLS3-PGESNT, Intel Core i3 12100(3.3GHz)","684600","684600","684600","0","2029.09.30"
"SAME","주식회사 아이티에스","25155323","데스크톱컴퓨터, 아이티에스, ITS-DT13-G3A50, Intel Core i3 13100(3.4GHz)","691000","691000","691000","0","2028.02.12"
"SAME","주식회사 기린","25308414","데스크톱컴퓨터, 기린, KR161-S3108300, Intel Core i3-13100(3.0GHz)","691200","691200","691200","0","2029.09.30"
"SAME","(주)컴트리","25797487","데스크톱컴퓨터, 컴트리, CN4-E11-H0002, Intel Core i3 14100(3.5GHz)","691800","691800","691800","0","2029.09.30"
"SAME","주식회사 삼보컴퓨터","25737581","데스크톱컴퓨터, 삼보컴퓨터, DT285-A550-001, AMD Ryzen5 5500GT(3.6GHz)","692000","692000",,"0","2029.09.30"
"SAME","주식회사 삼보컴퓨터","25737582","데스크톱컴퓨터, 삼보컴퓨터, DG485-A550-001, AMD Ryzen5 5500GT(3.6GHz)","692000","692000",,"0","2029.09.30"
"SAME","(주)컴트리","24483637","데스크톱컴퓨터, 컴트리, CSG-C5D1LB0, Intel Core i5 12500(3.0GHz)","692400","692400","692400","0","2029.09.30"
"SAME","주식회사 성주컴텍","25776522","데스크톱컴퓨터, 성주컴텍, SD110-GRY550S1M, AMD/Ryzen5 5500GT(3.6GHz)","696500","696500","696500","0","2029.09.30"
"SAME","주식회사 인텍","25319740","데스크톱컴퓨터, 인텍, IT176-S3416300, Intel Core i5-13400(2.5GHz)","698300","",,"0","2029.03.14"
"SAME","주식회사 서버앤컴퓨터","24589641","데스크톱컴퓨터, 서버앤컴퓨터, DODE-T3815, Intel Core i3 12100(3.3GHz)","700000","700000","700000","0","2026.04.29"
"SAME","주식회사 테트라","24890376","데스크톱컴퓨터, 테트라, T-MDT315S8, Intel Core i3 13100(3.4GHz)","703600","703600","703600","0","2029.09.30"
"SAME","(주)컴트리","25797488","데스크톱컴퓨터, 컴트리, CN4-E41-H0001, Intel Core i3 14100(3.5GHz)","708800","708800","708800","0","2029.09.30"
