"상태","업체명","식별번호","규격","2025-12-17","2025-12-24","2025-12-26","2025-12-30","2025-12-31","2026-01-02","변동액","계약종료일"
"SAME","주식회사 트리엠","25935416","데스크톱컴퓨터, 트리엠, TU2-RB7-5506, Intel Core Ultra 7 265(2.4GHz)","","1568900","","1564500","1564500",,"0","2029.06.25"
"SAME","주식회사 한라온","24552076","데스크톱컴퓨터, 한라온, AN161-T2916315, Intel Core i9 12900(2.4GHz)","","1596400","","","",,"0","2027.11.09"
"SAME","주식회사 한라온","25326632","데스크톱컴퓨터, 한라온, AN161-T3508220, Intel Core i5 13500(2.5GHz)","","","770620","","",,"0","2027.11.09"
"UP","주식회사 에이텍컴퓨터","25569866","데스크톱컴퓨터, 에이텍컴퓨터, A3TC-4NBDN, Intel Core i5 13400(2.5GHz)","","","787000","785100","785100","1002000","216900","2029.09.30"
"SAME","주식회사 한라온","24544595","데스크톱컴퓨터, 한라온, AN161-S2408310, Intel Core i5 12400(2.5GHz)","","","802460","","",,"0","2027.11.09"
"SAME","주식회사 한라온","25326637","데스크톱컴퓨터, 한라온, AN161-T3416220, Intel Core i5 13400(2.5GHz)","","","822700","","",,"0","2027.11.09"
"SAME","주식회사 한라온","25326629","데스크톱컴퓨터, 한라온, AN161-T3516320, Intel Core i5 13500(2.5GHz)","","","838120","","",,"0","2027.11.09"
"UP","주식회사 에이텍컴퓨터","26023413","데스크톱컴퓨터, 에이텍컴퓨터, A4UM-3NBDS, Intel Core i3-14100(3.5GHz)","","","927000","927000","927000","996000","69000","2029.09.30"
"UP","주식회사 대우루컴즈","26062342","데스크톱컴퓨터, 대우루컴즈, DT38AB-206500, Intel Core Ultra 3 205(3.8GHz)","","","942000","942000","942000","1163000","221000","2029.09.30"
"UP","주식회사 대우루컴즈","26062331","데스크톱컴퓨터, 대우루컴즈, DS38AA-206500, Intel Core Ultra 3 205(3.8GHz)","","","942000","942000","942000","1163000","221000","2029.09.30"
"SAME","주식회사 삼보컴퓨터","26063767","데스크톱컴퓨터, 삼보컴퓨터, DT281-GD31E-001, Intel Core Ultra 3 205(3.8GHz)","","","960000","","",,"0","2029.09.30"
"SAME","주식회사 삼보컴퓨터","26063745","데스크톱컴퓨터, 삼보컴퓨터, DG481-GD31E-001, Intel Core Ultra 3 205(3.8GHz)","","","960000","","",,"0","2029.09.30"
"UP","주식회사 에이텍컴퓨터","26023404","데스크톱컴퓨터, 에이텍컴퓨터, A4TC-5NBDF, Intel Core i5-14500(2.6GHz)","","","983000","982010","982010","1204000","221990","2029.09.30"
"UP","주식회사 대우루컴즈","26062332","데스크톱컴퓨터, 대우루컴즈, DS38AA-206520, Intel Core Ultra 3 205(3.8GHz)","","","1028000","1027500","1027500","1249000","221500","2029.09.30"
"UP","주식회사 대우루컴즈","26062343","데스크톱컴퓨터, 대우루컴즈, DT38AB-206520, Intel Core Ultra 3 205(3.8GHz)","","","1028000","1028000","1028000","1249000","221000","2029.09.30"
"SAME","주식회사 삼보컴퓨터","26063768","데스크톱컴퓨터, 삼보컴퓨터, DT281-GD31E-002, Intel Core Ultra 3 205(3.8GHz)","","","1046000","","",,"0","2029.09.30"
"SAME","주식회사 삼보컴퓨터","26063746","데스크톱컴퓨터, 삼보컴퓨터, DG481-GD31E-002, Intel Core Ultra 3 205(3.8GHz)","","","1046000","","",,"0","2029.09.30"
"UP","주식회사 대우루컴즈","26062333","데스크톱컴퓨터, 대우루컴즈, DS38AA-226500, Intel Core Ultra 5 225(3.3GHz)","","","1082000","1081200","1081200","1303000","221800","2029.09.30"
