"상태","업체명","식별번호","규격","2025-12-31","2026-01-02","2026-01-12","2026-01-29","변동액","계약종료일"
"DOWN","주식회사 리퓨터","25446294","노트북컴퓨터, Lenovo, (CN)83GWA001KR, Intel Core 7 240H(1.8GHz), 액세서리별도","1470000","1470000","1470000","1434000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25254749","노트북컴퓨터, 삼보컴퓨터, N5800-GD50-OU05, Intel Core i5 1335U(1.3GHz), 액세서리별도","1505000","1505000","1505000","1469000","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","25829476","노트북컴퓨터, (주문자상표부착)삼성전자, (CN)NT750XGK-KG76P, Intel Core 7 150U(1.8GHz)","1520000","1520000","1520000","1484000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25254750","노트북컴퓨터, 삼보컴퓨터, N5800-GD50-PU05, Intel Core i5 1335U(1.3GHz), 액세서리별도","1555000","1555000","1555000","1519000","-36000","2026.07.31"
"DOWN","주식회사 리퓨터","25543572","노트북컴퓨터, Lenovo, (CN)83GWA007KR, Intel Core 7 240H(1.8GHz), 액세서리별도","1570000","1570000","1570000","1534000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25254752","노트북컴퓨터, 삼보컴퓨터, N5800-GD70-PU01, Intel Core i7 1355U(1.7GHz), 액세서리별도","1595000","1595000","1595000","1559000","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","26024609","노트북컴퓨터, 삼성전자, (VN)NT750XHD-K5P62, Intel Core Ultra 5 225U(1.5GHz), 액세사리별도","1636000","1636000","1636000","1600000","-36000","2026.07.31"
"DOWN","엘지전자 주식회사","25862649","노트북컴퓨터, (주문자상표부착)엘지전자, (CN)15UG55T-GP79KN, Intel Core Ultra 7 255U(2.0GHz)","1637000","1637000","1637000","1601000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25254757","노트북컴퓨터, 삼보컴퓨터, N5800-GD70-OU04, Intel Core i7 1355U(1.7GHz), 액세서리별도","1645000","1645000","1645000","1609000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25254758","노트북컴퓨터, 삼보컴퓨터, N5800-GD70-PU04, Intel Core i7 1355U(1.7GHz), 액세서리별도","1695000","1695000","1695000","1659000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25254759","노트북컴퓨터, 삼보컴퓨터, N5800-GD70-OU05, Intel Core i7 1355U(1.7GHz), 액세서리별도","1745000","1745000","1745000","1709000","-36000","2026.07.31"
"DOWN","주식회사 리퓨터","25965292","노트북컴퓨터, Lenovo, (CN)83GWA03MKR, Intel Core 7 240H(1.8GHz), 액세사리별도","1760000","1760000","1760000","1724000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25254760","노트북컴퓨터, 삼보컴퓨터, N5800-GD70-PU05, Intel Core i7 1355U(1.7GHz), 액세서리별도","1795000","1795000","1795000","1759000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25295927","노트북컴퓨터, 삼보컴퓨터, N5800-GD70-OU06, Intel Core i7 1355U(1.7GHz), 액세서리별도","1795000","1795000","1795000","1759000","-36000","2026.07.31"
"DOWN","주식회사 삼보컴퓨터","25295928","노트북컴퓨터, 삼보컴퓨터, N5800-GD70-PU06, Intel Core i7 1355U(1.7GHz), 액세서리별도","1845000","1845000","1845000","1809000","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","26024622","노트북컴퓨터, 삼성전자, (VN)NT750XHD-K7P62, Intel Core Ultra 7 255U(2.0GHz), 액세사리별도","1876000","1876000","1876000","1840000","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","25829477","노트북컴퓨터, (주문자상표부착)삼성전자, (CN)NT750XGL-XG76P, Intel Core 7 150U(1.8GHz)","1950000","1950000","1950000","1914000","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","25829485","노트북컴퓨터, 삼성전자, (VN)NT750QGK-KG56G, Intel Core 5 120U(1.4GHz)","1980000","1980000","1980000","1944000","-36000","2026.07.31"
"DOWN","주식회사 리퓨터","25965299","노트북컴퓨터, Lenovo, (CN)21SQA03RKR, Intel Core Ultra 5 225U(1.5GHz), 액세사리별도","1980000","1980000","1980000","1944000","-36000","2026.07.31"
"DOWN","주식회사 리퓨터","25965295","노트북컴퓨터, Lenovo, (CN)21SSS2L100, Intel Core Ultra 5 225H(1.7GHz), 액세사리별도","1980000","1980000","1980000","1944000","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","25364927","노트북컴퓨터, 삼성전자, (VN)NT950XGK-KG51S, Intel Core Ultra 5 125H(1.2GHz), 액세서리별도","2068900","2068900","2068900","2032900","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","26024623","노트북컴퓨터, 삼성전자, (VN)NT750XHD-K7P21, Intel Core Ultra 7 255U(2.0GHz), 액세사리별도","2136000","2136000","2136000","2100000","-36000","2026.07.31"
"DOWN","주식회사 리퓨터","25965305","노트북컴퓨터, Lenovo, (CN)21Q7S0U300, Intel Core Ultra 5 226V(2.1GHz), 액세사리별도","2145000","2145000","2145000","2109000","-36000","2026.07.31"
"DOWN","주식회사 리퓨터","25965296","노트북컴퓨터, Lenovo, (CN)21SSS2L000, Intel Core Ultra 7 255H(2.0GHz), 액세사리별도","2145000","2145000","2145000","2109000","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","25829478","노트북컴퓨터, 삼성전자, (VN)NT950XGK-KG56S, Intel Core Ultra 5 125H(1.2GHz)","2166000","2166000","2166000","2130000","-36000","2026.07.31"
"DOWN","엘지전자 주식회사","25343898","노트북컴퓨터, (주문자상표부착)엘지전자, (CN)15ZG90S-GP59KN, Intel Core Ultra 5 125H(1.2GHz), 액세서리별도","2187000","2187000","2187000","2151000","-36000","2026.07.31"
"DOWN","엘지전자 주식회사","25792592","노트북컴퓨터, (주문자상표부착)엘지전자, (CN)15ZG80T-GP59KN, RyzenTM AI 5 340(2.0GHz)","2197000","2197000","2197000","2161000","-36000","2026.07.31"
"DOWN","주식회사 리퓨터","25965304","노트북컴퓨터, Lenovo, (CN)21QBS1C500, Intel Core Ultra 5 226V(2.1GHz), 액세사리별도","2220000","2220000","2220000","2184000","-36000","2026.07.31"
"DOWN","삼성전자 주식회사","25829480","노트북컴퓨터, 삼성전자, (VN)NT940XHA-KG51G, Intel Core Ultra 5 226V(2.1GHz)","2260000","2260000","2260000","2224000","-36000","2026.07.31"
"DOWN","엘지전자 주식회사","25631228","노트북컴퓨터, 엘지전자, (CN)16ZG90S-GP59KN, Intel Core Ultra 5 125H(1.2GHz)","2267000","2267000","2267000","2231000","-36000","2026.07.31"
"DOWN","엘지전자 주식회사","25792602","노트북컴퓨터, (주문자상표부착)엘지전자, (CN)15ZG90T-GA59KN, Intel Core Ultra 5 225H(1.7GHz)","2307000","2307000","2307000","2271000","-36000","2026.07.31"
