상태,업체명,식별번호,규격,2025-12-17,2025-12-31,2026-01-29,2026-02-26,2026-03-25,2026-04-26,변동액,계약종료일
SAME,주식회사 비엔피,24663401,"데스크톱컴퓨터, 비엔피, B5M-2T8S5H1, Intel Core i5 12500(3.0GHz)",1056700,1056000,1316700,1517700,1517700,1517700,0,2029.09.30
SAME,주식회사 에이치케이시스템,25770761,"데스크톱컴퓨터, 에이치케이시스템, HSB4-BX52P0, Intel Core i5 14400(2.5GHz)",1057200,1057200,1375700,1375700,1530200,1530200,0,2029.09.30
SAME,주식회사 에이치케이시스템,25769819,"데스크톱컴퓨터, 에이치케이시스템, HTB4-BX52P0, Intel Core i5 14400(2.5GHz)",1057200,1056700,1375700,1375700,1530200,1530200,0,2029.09.30
SAME,주식회사 주연테크,25792411,"데스크톱컴퓨터, 주연테크, JA-145G5S, Intel Core i5-14500(2.6GHz)",1057400,1057200,,,,,0,2029.09.30
NEW,주식회사 코리,25673563,"데스크톱컴퓨터, 코리, CR176-T4716300, Intel&nbsp;Core&nbsp;i7-14700(2.1GHz)",1057500,1057400,,,,1485400,0,2029.09.30
SAME,(주)컴트리,25797464,"데스크톱컴퓨터, 컴트리, CM4-E51-B0001, Intel Core i5 14500(2.6GHz)",1057710,1057500,1378310,1378310,1505310,1505310,0,2029.09.30
SAME,위더스컴퓨터 주식회사,25695806,"데스크톱컴퓨터, 위더스컴퓨터, B7T-450N2H116, Intel Core i5 14500(2.6GHz)",1059000,1057710,1371000,1371000,1547000,1547000,0,2029.09.30
SAME,주식회사 아이브리지닷컴,25628975,"데스크톱컴퓨터, 아이브리지닷컴, S7-X47B-1A0N, i7-14700(2.1GHz)",1059000,1059000,1268000,1268000,1456000,1456000,0,2028.12.03
SAME,주식회사 인텍,25319769,"데스크톱컴퓨터, 인텍, IT176-T3516320, Intel Core i5-13500(2.5GHz)",1059500,1059000,1352500,1582500,1582500,1582500,0,2029.03.14
NEW,주식회사 삼보컴퓨터,25737229,"데스크톱컴퓨터, 삼보컴퓨터, DM482-GC51K-001, Intel Core i5 14500(2.6GHz)",1060000,1060000,,,,1441000,0,2029.09.30
SAME,주식회사 서버앤컴퓨터,24589656,"데스크톱컴퓨터, 서버앤컴퓨터, DODE-M77815, Intel Core i7 12700(2.1GHz)",1060000,1060000,1285200,1285200,1450000,1450000,0,2026.04.29
SAME,(주)다컴시스템,25586044,"데스크톱컴퓨터, 다컴시스템, MA4DHF-4640Ai, AMD Ryzen5 8600G(4.3GHz)",1061000,1060000,1307000,1307000,1562000,1562000,0,2029.09.30
SAME,주식회사 아이티에스,25155348,"데스크톱컴퓨터, 아이티에스, ITS-DT13-G7B100, Intel Core i7 13700(2.1GHz)",1061000,1061000,1400000,1400000,1630000,1630000,0,2028.02.12
NEW,주식회사 트리엠,25726653,"데스크톱컴퓨터, 트리엠, TX4-CB7-506, Intel Core i7-14700(2.1GHz)",1061900,,1367400,,,1632900,0,2029.06.25
SAME,주식회사 주연테크,25792390,"데스크톱컴퓨터, 주연테크, JS-144G1S, Intel Core i5-14400(2.5GHz)",1062000,1062000,1459000,1808000,1708000,1708000,0,2029.09.30
SAME,주식회사 주연테크,25792436,"데스크톱컴퓨터, 주연테크, JA-144G1S, Intel Core i5-14400(2.5GHz)",1062000,1061700,1459000,1808000,1708000,1708000,0,2029.09.30
SAME,위더스컴퓨터 주식회사,24935042,"데스크톱컴퓨터, 위더스컴퓨터, B7T-50N5H116, Intel Core i5 13500(2.5GHz)",1062100,1062100,1390000,1390000,1596000,1596000,0,2029.09.30
SAME,위더스컴퓨터 주식회사,24935038,"데스크톱컴퓨터, 위더스컴퓨터, B7S-50N5H116, Intel Core i5 13500(2.5GHz)",1062100,1062100,1390000,1390000,1596000,1596000,0,2029.09.30
SAME,주식회사 기린,24481698,"데스크톱컴퓨터, 기린, KR166-T2716310, Intel Core i7 12700(2.1GHz)",1062100,1062000,1394100,1632100,1632100,1632100,0,2029.09.30
SAME,(주)유투,25479190,"데스크톱컴퓨터, 유투, T5E2-520/B, Intel Core i5 14500(2.6GHz)",1063000,1063000,1353000,1353000,1604000,1604000,0,2029.09.30
SAME,(주)유투,25479192,"데스크톱컴퓨터, 유투, T5E2-550/B, Intel Core i5 14500(2.6GHz)",1063000,1062100,1385500,1385500,1688500,1688500,0,2029.09.30
SAME,(주)한성컴퓨터,25803982,"데스크톱컴퓨터, 한성컴퓨터, T14-B731615V0, Intel Core i3 14100(3.5GHz)",1063400,1063000,1361300,1749100,1669100,1669100,0,2027.08.08
SAME,주식회사 인텍,25319784,"데스크톱컴퓨터, 인텍, IT176-T35163C0, Intel Core i5-13500(2.5GHz)",1063500,1063400,1370500,1679500,1679500,1679500,0,2029.03.14
SAME,주식회사 주연테크,25792408,"데스크톱컴퓨터, 주연테크, JS-144F5S1S, Intel Core i5-14400(2.5GHz)",1064000,1064000,1315000,1621000,1521000,1521000,0,2029.09.30
SAME,주식회사 주연테크,25792440,"데스크톱컴퓨터, 주연테크, JA-144F5S1S, Intel Core i5-14400(2.5GHz)",1064000,1063500,1315000,1621000,1521000,1521000,0,2029.09.30
SAME,주식회사 기린,25308420,"데스크톱컴퓨터, 기린, KR176-T3716220, Intel Core i7-13700(2.1GHz)",1064900,1064000,,1582900,1582900,1582900,0,2029.09.30
SAME,주식회사 인텍,25822914,"데스크톱컴퓨터, 인텍, ITA176-T4532400, IntelCore i5-14500(2.6GHz)",1065000,1064900,1433000,1704000,1684000,1684000,0,2029.03.14
NEW,주식회사 트리엠,25726657,"데스크톱컴퓨터, 트리엠, TX4-RB7-506, Intel Core i7-14700(2.1GHz)",1065900,,1371400,,,1636900,0,2029.06.25
SAME,(주)유투,25545870,"데스크톱컴퓨터, 유투, T7E2-500, Intel Core i7 14700(2.1GHz)",1067000,1067000,1421600,,,,0,2029.09.30
SAME,(주)유투,25479176,"데스크톱컴퓨터, 유투, S5E2-220/B, Intel Core i5 14500(2.6GHz)",1067000,1067000,1322000,,,,0,2029.09.30
SAME,네오프랜드(주),24645795,"데스크톱컴퓨터, 네오프랜드, NDI52M2-C12N, Intel Core i5 12500(3.0GHz)",1067500,1067000,1568070,1568070,1568070,1568070,0,2026.08.03
SAME,주식회사 스마트인디지털,24499236,"데스크톱컴퓨터, 스마트인디지털, DLM7-PGESAT(103), Intel Core i7 12700(2.1GHz)",1069800,1067500,1388500,1388500,1569600,1569600,0,2029.09.30
SAME,주식회사 대우루컴즈,25563994,"데스크톱컴퓨터, 대우루컴즈, DT367B-446520, Intel Core i5 14400(2.5GHz)",1070000,1070000,,1516000,1516000,1516000,0,2029.09.30
